id_contrato;fecha_inicio;fecha_fin_prevista;duracion_meses;convertido_indefinido;fecha_conversion
1;2011-07-30;2014-07-30;36;0;NA
2;2009-02-15;2009-08-15;6;0;NA
3;2011-01-04;2013-01-04;24;0;NA
4;2009-09-22;2010-09-22;12;0;NA
5;2010-08-26;2012-02-26;18;1;2012-04-19
6;2009-12-26;2012-06-26;30;0;NA
7;2009-08-04;2011-02-04;18;0;NA
8;2009-05-16;2012-05-16;36;0;NA
9;2009-02-21;2011-02-21;24;0;NA
10;2010-04-26;2012-04-26;24;0;NA
11;2009-10-02;2010-10-02;12;0;NA
12;2010-08-14;2012-08-14;24;0;NA
13;2010-02-28;2012-02-28;24;0;NA
14;2009-02-20;2011-02-20;24;0;NA
15;2009-04-23;2010-04-23;12;0;NA
16;2010-09-03;2013-09-03;36;0;NA
17;2009-03-03;2010-09-03;18;0;NA
18;2009-06-17;2011-06-17;24;0;NA
19;2010-10-15;2011-04-15;6;0;NA
20;2010-11-20;2012-11-20;24;0;NA
21;2011-10-02;2012-10-02;12;1;2012-11-23
22;2009-10-05;2012-04-05;30;1;2012-06-23
23;2010-03-07;2012-03-07;24;0;NA
24;2009-12-19;2011-06-19;18;0;NA
25;2011-10-20;2013-10-20;24;0;NA
26;2009-04-14;2011-04-14;24;0;NA
27;2011-06-11;2013-06-11;24;0;NA
28;2010-07-16;2011-01-16;6;0;NA
29;2009-06-11;2010-12-11;18;0;NA
30;2010-10-29;2013-10-29;36;0;NA
31;2010-02-08;2012-02-08;24;0;NA
32;2010-10-13;2011-10-13;12;0;NA
33;2009-10-16;2011-10-16;24;1;2011-10-30
34;2011-06-09;2012-06-09;12;0;NA
35;2011-05-22;2012-05-22;12;0;NA
36;2009-05-30;2009-11-30;6;0;NA
37;2011-12-12;2013-12-12;24;0;NA
38;2011-02-11;2012-02-11;12;0;NA
39;2011-11-03;2013-11-03;24;0;NA
40;2009-12-02;2011-06-02;18;0;NA
41;2011-11-26;2012-11-26;12;0;NA
42;2011-01-15;2013-01-15;24;0;NA
43;2011-12-25;2013-12-25;24;0;NA
44;2009-10-27;2012-10-27;36;0;NA
45;2009-11-05;2011-05-05;18;0;NA
46;2010-05-08;2010-11-08;6;0;NA
47;2010-11-10;2011-11-10;12;0;NA
48;2010-08-12;2012-08-12;24;1;2012-12-04
49;2010-03-14;2011-09-14;18;0;NA
50;2010-12-08;2013-12-08;36;0;NA
51;2010-06-17;2012-06-17;24;0;NA
52;2009-10-05;2010-10-05;12;0;NA
53;2009-10-09;2012-10-09;36;0;NA
54;2010-05-25;2011-05-25;12;0;NA
55;2011-11-13;2013-11-13;24;0;NA
56;2009-10-27;2010-10-27;12;0;NA
57;2009-12-28;2011-06-28;18;0;NA
58;2010-03-19;2012-09-19;30;0;NA
59;2011-08-17;2012-08-17;12;0;NA
60;2010-07-24;2011-07-24;12;0;NA
61;2009-03-20;2011-09-20;30;0;NA
62;2009-02-01;2012-02-01;36;0;NA
63;2011-12-23;2014-06-23;30;0;NA
64;2010-02-04;2011-08-04;18;0;NA
65;2009-05-28;2009-11-28;6;0;NA
66;2011-04-14;2014-04-14;36;0;NA
67;2009-03-18;2011-03-18;24;0;NA
68;2009-02-01;2009-08-01;6;0;NA
69;2011-02-07;2012-02-07;12;0;NA
70;2011-09-18;2013-09-18;24;0;NA
71;2010-09-06;2011-09-06;12;0;NA
72;2011-10-30;2012-10-30;12;0;NA
73;2011-07-23;2012-07-23;12;0;NA
74;2009-02-08;2010-02-08;12;0;NA
75;2009-01-21;2010-07-21;18;0;NA
76;2009-11-08;2011-11-08;24;0;NA
77;2011-03-11;2012-03-11;12;0;NA
78;2009-10-04;2012-10-04;36;1;2013-02-01
79;2009-04-26;2010-04-26;12;0;NA
80;2011-02-26;2011-08-26;6;0;NA
81;2010-12-16;2011-06-16;6;0;NA
82;2009-09-20;2011-03-20;18;0;NA
83;2010-01-18;2011-01-18;12;0;NA
84;2009-08-01;2011-08-01;24;0;NA
85;2009-04-04;2012-04-04;36;0;NA
86;2009-10-05;2010-10-05;12;0;NA
87;2011-07-12;2012-07-12;12;0;NA
88;2011-07-20;2013-01-20;18;0;NA
89;2009-11-08;2010-11-08;12;0;NA
90;2009-01-28;2010-01-28;12;0;NA
91;2011-07-18;2014-07-18;36;0;NA
92;2010-09-18;2011-03-18;6;0;NA
93;2011-09-01;2013-09-01;24;0;NA
94;2009-08-04;2011-08-04;24;0;NA
95;2011-08-01;2013-08-01;24;1;2013-11-01
96;2011-03-04;2012-03-04;12;0;NA
97;2010-10-22;2011-04-22;6;1;2011-08-17
98;2011-10-16;2012-04-16;6;0;NA
99;2010-01-26;2012-01-26;24;0;NA
100;2009-01-08;2011-01-08;24;0;NA
101;2009-05-30;2010-11-30;18;0;NA
102;2010-09-07;2012-09-07;24;0;NA
103;2009-02-11;2010-02-11;12;0;NA
104;2011-12-01;2013-12-01;24;0;NA
105;2010-08-17;2013-08-17;36;0;NA
106;2009-12-06;2010-12-06;12;0;NA
107;2011-04-21;2013-04-21;24;0;NA
108;2010-09-11;2012-03-11;18;0;NA
109;2011-04-05;2012-04-05;12;0;NA
110;2009-04-14;2011-04-14;24;0;NA
111;2010-09-10;2012-09-10;24;0;NA
112;2009-09-10;2010-09-10;12;0;NA
113;2009-04-25;2009-10-25;6;0;NA
114;2010-12-20;2012-12-20;24;0;NA
115;2011-02-18;2013-08-18;30;0;NA
116;2009-12-07;2011-12-07;24;0;NA
117;2009-01-07;2010-01-07;12;0;NA
118;2010-03-06;2012-03-06;24;0;NA
119;2009-03-31;2011-03-31;24;0;NA
120;2011-03-03;2014-03-03;36;0;NA
121;2009-07-15;2011-01-15;18;0;NA
122;2010-07-30;2012-01-30;18;0;NA
123;2009-05-24;2012-05-24;36;0;NA
124;2009-12-17;2010-12-17;12;0;NA
125;2009-08-18;2011-08-18;24;0;NA
126;2010-11-10;2011-11-10;12;0;NA
127;2011-06-26;2013-06-26;24;0;NA
128;2011-05-30;2013-05-30;24;0;NA
129;2011-12-01;2013-12-01;24;0;NA
130;2011-08-30;2013-08-30;24;0;NA
131;2009-12-31;2011-12-31;24;0;NA
132;2009-07-27;2010-07-27;12;0;NA
133;2009-08-07;2012-02-07;30;0;NA
134;2010-02-22;2012-02-22;24;0;NA
135;2011-08-01;2013-08-01;24;0;NA
