id_contrato;id_trabajador;sexo;edad_inicio;nivel_educativo;ccaa;sector;tamano_empresa;provincia;contratos_previos_empresa;salario_base_mensual;jornada_parcial
1;922904;Hombre;28;Primaria o secundaria;Castilla-La Mancha;Hostelería;10-49;9;10;990,9;0
2;118725;Mujer;25;Postsecundaria;Andalucía;NA;1-9;26;10;1116,8;1
3;888078;Hombre;19;Primaria o secundaria;Resto;Agricultura;1-9;52;10;768,9;0
4;811787;Mujer;21;Primaria o secundaria;Resto;Servicios no de mercado;1-9;9;11;705,6;1
5;334671;Hombre;23;Primaria o secundaria;Madrid;Industria y construcción;1-9;12;6;953,9;0
6;407486;Hombre;27;Primaria o secundaria;Cataluña;Hostelería;1-9;40;13;724,2;0
7;876505;Hombre;23;FP superior;Madrid;Industria y construcción;1-9;49;10;1005,4;0
8;188919;Mujer;25;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;10-49;20;15;709,3;0
9;231150;Hombre;25;Primaria o secundaria;Andalucía;Industria y construcción;1-9;26;14;966,8;0
10;887565;Hombre;22;FP superior;Castilla y León;Servicios alta cualificación y comercio;10-49;44;18;832,1;1
11;122507;Hombre;23;FP superior;C. Valenciana;Servicios alta cualificación y comercio;1-9;31;8;742,9;0
12;693845;Hombre;25;Primaria o secundaria;Madrid;Hostelería;1-9;48;7;752,2;0
13;177693;Mujer;29;Primaria o secundaria;País Vasco;Servicios alta cualificación y comercio;50-249;26;11;806,0;0
14;174716;Hombre;25;Primaria o secundaria;Madrid;Servicios no de mercado;10-49;48;18;842,3;0
15;401579;Hombre;20;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;11;11;720,7;0
16;570244;Hombre;27;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;1-9;29;11;1000,0;0
17;848802;Hombre;19;Postsecundaria;Cataluña;Hostelería;1-9;26;11;787,9;0
18;262345;Hombre;22;Primaria o secundaria;Castilla-La Mancha;Hostelería;1-9;28;6;870,8;1
19;915715;Mujer;19;Primaria o secundaria;Resto;Industria y construcción;10-49;16;14;815,8;1
20;616081;Mujer;21;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;10-49;35;12;740,9;1
21;194380;Hombre;20;FP superior;Castilla y León;Servicios alta cualificación y comercio;1-9;42;6;864,2;0
22;823164;Hombre;29;Primaria o secundaria;Andalucía;Industria y construcción;1-9;34;11;956,7;0
23;905736;Hombre;25;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;1-9;44;12;790,4;0
24;836388;Hombre;21;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;50-249;43;8;602,2;0
25;665740;Hombre;23;Primaria o secundaria;Castilla-La Mancha;Servicios alta cualificación y comercio;1-9;26;11;906,6;0
26;223624;Hombre;20;FP superior;Cataluña;Agricultura;10-49;19;14;1146,7;1
27;758367;Hombre;16;Primaria o secundaria;Resto;Hostelería;10-49;1;9;696,8;1
