"id_alumno","sexo","rama","nota_acceso","renta_familiar","creditos_matriculados","edad","beca","creditos_superados","continua_segundo"
"A00001","Mujer","Salud",9.18187427359185,62328,66,21,1,57,0
"A00002","Hombre","Humanidades",10.8117793148011,17203,66,20,0,59,0
"A00003","Mujer","Ingenieria",6.74705738073881,36682,72,18,1,36,0
"A00004","Hombre","Sociales",9.99878782604186,38477,60,18,1,60,1
"A00005","Mujer","Ciencias",13.0532564675673,24022,60,18,1,60,1
"A00006","Hombre","Salud",11.5211020937814,32308,60,18,1,60,0
"A00007","Mujer","Ciencias",9.48897316444771,19381,60,27,1,60,1
"A00008","Mujer","Ciencias",10.1118257176324,20613,60,18,1,58,1
"A00009","Mujer","Sociales",10.4988542764569,8725,48,18,1,48,1
"A00010","Hombre","Ingenieria",8.7671508036179,13156,66,18,1,54,1
"A00011","Hombre","Ingenieria",8.52725389051336,40227,60,19,1,57,0
"A00012","Hombre","Ingenieria",7.40912118236773,41128,60,19,0,44,0
"A00013","Mujer","Salud",7.93440882182836,15441,60,24,1,54,1
"A00014","Hombre","Salud",12.2758157079023,19901,60,20,1,60,1
"A00015","Hombre","Ciencias",8.05377363673531,47716,54,25,0,42,1
"A00016","Mujer","Sociales",8.14679017186386,42409,66,18,1,66,1
"A00017","Hombre","Sociales",7.34922493684239,30947,72,19,1,51,1
"A00018","Hombre","Sociales",6.94469408553775,53309,60,24,0,55,0
"A00019","Hombre","Ingenieria",7.45595232788811,24638,72,18,1,61,0
"A00020","Hombre","Ingenieria",6.64566923506864,54928,60,20,1,32,0
"A00021","Mujer","Humanidades",7.1965003536462,25504,60,18,1,54,1
"A00022","Mujer","Salud",8.43904732310152,32905,60,18,0,58,1
"A00023","Hombre","Ciencias",8.82353441669195,18578,60,22,1,51,1
"A00024","Hombre","Ciencias",6.72073585633635,33765,48,18,1,43,0
"A00025","Hombre","Ingenieria",7.82016490232219,49465,60,20,0,50,0
"A00026","Hombre","Sociales",5.97123119436873,28617,60,19,1,49,1
"A00027","Hombre","Salud",8.36455883509728,26386,60,19,1,59,0
"A00028","Hombre","Ciencias",11.6083319527246,30862,66,18,1,66,1
"A00029","Mujer","Humanidades",8.95612346876317,9447,60,19,1,51,1
"A00030","Mujer","Ciencias",9.6715637816652,35084,66,19,1,57,1
"A00031","Hombre","Ingenieria",7.31606258836928,6753,60,19,1,60,1
"A00032","Mujer","Ciencias",9.58154845386185,50565,48,26,1,42,0
"A00033","Mujer","Ciencias",8.63820666184843,15909,60,18,1,47,0
"A00034","Mujer","Humanidades",9.16162928376687,32536,66,18,1,51,0
"A00035","Mujer","Ingenieria",7.54655169680431,19814,60,22,1,45,1
"A00036","Mujer","Ingenieria",10.7775796121072,16007,66,18,1,60,1
"A00037","Hombre","Humanidades",8.77974797983478,38611,60,21,1,55,1
"A00038","Hombre","Humanidades",8.17624212570809,9630,60,19,1,60,1
"A00039","Hombre","Sociales",8.67744157199411,28884,66,18,1,61,1
"A00040","Hombre","Salud",7.11569347195752,47182,60,19,0,42,0
"A00041","Mujer","Salud",9.61745817922272,43298,72,24,1,72,1
"A00042","Mujer","Salud",9.91720181476797,31916,60,19,1,60,1
"A00043","Mujer","Ciencias",7.45876969979345,20453,54,18,1,54,0
"A00044","Mujer","Ciencias",8.95200543630716,15968,48,20,1,48,1
"A00045","Hombre","Ciencias",11.3517025358703,70610,60,26,1,60,1
"A00046","Mujer","Sociales",7.79098975365982,18865,72,23,0,47,1
"A00047","Hombre","Ciencias",12.4602836918076,33837,60,18,1,60,1
"A00048","Mujer","Humanidades",8.02308054560557,33323,48,19,1,48,1
"A00049","Mujer","Humanidades",10.3919794849843,20215,48,18,1,48,1
"A00050","Hombre","Humanidades",6.28311113741258,16548,60,18,1,53,0
"A00051","Mujer","Salud",7.44668600285484,35680,60,19,1,51,0
"A00052","Mujer","Ingenieria",5.82182459327839,27001,72,19,1,57,0
"A00053","Mujer","Ciencias",9.20732098416196,15008,60,18,1,60,1
"A00054","Hombre","Ciencias",5,19088,54,19,0,29,0
"A00055","Mujer","Ciencias",9.75915169594722,25823,60,18,0,44,1
"A00056","Mujer","Humanidades",8.3639015036696,20999,60,18,1,60,0
"A00057","Hombre","Salud",9.05445887401464,51880,72,26,1,51,1
"A00058","Mujer","Sociales",11.288695305238,29679,60,21,1,60,1
"A00059","Mujer","Humanidades",5,11333,66,20,0,37,0
"A00060","Mujer","Ciencias",8.51121267669264,41653,60,18,0,45,0
"A00061","Hombre","Sociales",5,47277,60,18,0,28,0
"A00062","Mujer","Ingenieria",10.8495667163091,28909,66,23,1,65,1
"A00063","Hombre","Ingenieria",10.6939708242124,22623,60,19,1,56,1
"A00064","Mujer","Ingenieria",7.21022060786724,17030,60,19,0,55,0
"A00065","Hombre","Sociales",10.6903707809148,24605,60,18,1,59,1
"A00066","Hombre","Sociales",13.2643862414702,68602,72,18,1,72,1
"A00067","Mujer","Sociales",9.21327992624377,45217,60,19,1,60,0
"A00068","Mujer","Ingenieria",10.2905558624247,27106,60,20,1,60,1
"A00069","Hombre","Humanidades",9.28701364399298,42168,60,22,0,60,1
"A00070","Mujer","Humanidades",8.02783578713646,14764,60,21,1,60,1
"A00071","Mujer","Sociales",12.0064803364616,20014,66,21,1,66,1
"A00072","Hombre","Sociales",7.71085642760243,34064,60,21,0,31,0
"A00073","Mujer","Salud",9.1110566844272,11795,60,18,1,60,1
"A00074","Hombre","Ingenieria",5.761674335854,38890,66,20,1,25,0
"A00075","Mujer","Humanidades",10.0145917834943,64148,60,19,0,44,1
"A00076","Hombre","Ingenieria",5,15886,60,24,1,56,0
"A00077","Hombre","Ciencias",10.5611347055686,20686,60,18,1,51,1
"A00078","Hombre","Humanidades",7.19990109612449,20006,60,19,0,60,0
"A00079","Hombre","Ingenieria",6.98506157078665,17821,60,19,1,59,0
"A00080","Mujer","Ciencias",7.92453175806987,22031,60,21,1,60,1
"A00081","Mujer","Ingenieria",7.96435058117916,24371,60,18,1,49,0
"A00082","Hombre","Sociales",7.45146668888263,22724,48,20,1,48,0
"A00083","Hombre","Ciencias",7.51318998775892,8313,54,18,0,49,0
"A00084","Mujer","Ingenieria",9.27266444601659,34998,48,27,1,48,1
"A00085","Hombre","Salud",9.5160660314302,27978,60,20,1,60,1
"A00086","Hombre","Ingenieria",8.11835585994509,38174,60,22,1,60,0
"A00087","Hombre","Sociales",8.1437368836651,17377,60,19,0,47,0
"A00088","Hombre","Salud",8.7035257331419,28699,72,24,1,49,1
"A00089","Mujer","Humanidades",7.75119394909697,73764,60,19,0,46,0
"A00090","Hombre","Salud",6.93055580581489,9999999,60,19,0,0,0
"A00091","Hombre","Salud",9.90190370966384,62014,60,18,1,48,1
"A00092","Mujer","Humanidades",8.38064416437672,37040,60,18,1,54,0
"A00093","Mujer","Salud",8.95489497853676,57727,60,20,0,39,1
"A00094","Mujer","Salud",9.93767415389657,24089,66,18,1,53,1
"A00095","Hombre","Sociales",5.7661213208545,15211,60,18,1,34,0
"A00096","Hombre","Humanidades",10.420104396867,20426,60,20,1,60,1
"A00097","Mujer","Ingenieria",11.6403499535868,18544,66,19,1,66,0
"A00098","Hombre","Ingenieria",8.64908835370355,44139,66,19,0,61,0
"A00099","Mujer","Salud",9.37514707006985,48078,72,20,1,62,1
"A00100","Hombre","Ingenieria",7.35698635762011,18628,60,21,1,51,0
"A00101","Mujer","Ciencias",8.44307033811315,31347,60,21,1,54,1
"A00102","Mujer","Ingenieria",5.82908197426703,26657,60,18,1,59,0
"A00103","Hombre","Ciencias",10.676350574654,9616,60,25,1,56,1
"A00104","Hombre","Ingenieria",7.89977148074625,10532,60,20,1,52,0
"A00105","Mujer","Ciencias",12.2318449488988,36439,60,19,1,60,1
"A00106","Hombre","Humanidades",9.84147860242446,37288,60,21,1,52,1
"A00107","Mujer","Salud",6.76518863117607,106728,60,20,0,48,0
"A00108","Mujer","Humanidades",7.29566727259607,7558,60,20,1,60,1
"A00109","Mujer","Ciencias",7.17321142666606,32172,60,18,1,54,1
"A00110","Hombre","Ingenieria",8.70717520001385,66419,48,18,0,48,0
"A00111","Mujer","Ciencias",10.2739631534991,41107,60,25,1,60,0
"A00112","Mujer","Ingenieria",6.9639596757078,58176,54,18,0,50,0
"A00113","Hombre","Ingenieria",9.5075976426553,18703,48,18,0,48,1
"A00114","Hombre","Ingenieria",7.00863744219611,23034,60,19,1,53,1
"A00115","Hombre","Humanidades",7.49104603671624,22109,60,21,1,60,1
"A00116","Mujer","Ciencias",7.4167964714657,55188,72,28,1,55,1
"A00117","Hombre","Ingenieria",7.87707438425309,20770,66,24,1,49,1
"A00118","Hombre","Ciencias",7.77757439842765,32637,60,18,0,49,0
"A00119","Mujer","Ciencias",7.8073818458021,42157,60,21,1,37,0
"A00120","Hombre","Ciencias",8.0633447400196,34872,60,18,1,60,1
"A00121","Hombre","Ingenieria",8.99831812107591,46784,60,19,1,51,0
"A00122","Mujer","Ciencias",6.64018575852033,82505,66,18,1,63,0
"A00123","Hombre","Sociales",7.69012846741637,28398,66,21,1,60,1
"A00124","Hombre","Sociales",11.5672865703851,20549,54,18,1,54,1
"A00125","Mujer","Ciencias",8.49420450170023,17477,60,23,1,51,1
"A00126","Mujer","Ciencias",9.27272148593367,30317,60,19,1,60,0
"A00127","Mujer","Salud",7.76039851045988,16396,60,18,1,60,0
"A00128","Mujer","Ingenieria",10.7206925560222,33656,60,20,1,60,0
"A00129","Mujer","Ingenieria",6.88521436354369,16763,60,18,1,49,1
"A00130","Mujer","Ciencias",8.97363082337023,39109,60,19,1,47,1
"A00131","Hombre","Sociales",9.74876125277371,47927,60,18,1,60,1
"A00132","Hombre","Ciencias",8.19283499009387,8782,66,19,1,52,1
"A00133","Hombre","Ciencias",6.70715344624693,11429,60,20,1,39,1
"A00134","Hombre","Salud",6.74179143208576,21685,72,19,1,41,1
"A00135","Hombre","Salud",6.20241227902151,18644,66,20,1,49,0
"A00136","Mujer","Salud",8.1283767665764,10979,60,18,1,56,1
"A00137","Hombre","Ciencias",7.52202010501405,38164,60,20,0,55,0
"A00138","Mujer","Ciencias",7.72281899953446,47515,60,18,1,54,0
"A00139","Hombre","Sociales",10.3893650395142,24586,60,19,1,60,0
"A00140","Hombre","Ingenieria",9.07451565542449,15925,72,18,1,61,1
"A00141","Mujer","Ciencias",6.31794225295089,25998,60,25,1,49,1
"A00142","Mujer","Humanidades",6.21993506685473,44097,54,23,1,54,0
"A00143","Mujer","Sociales",9.13777950029389,39519,66,18,1,62,0
"A00144","Hombre","Sociales",8.67501561975746,26811,54,18,1,37,0
"A00145","Mujer","Sociales",7.38240436011659,28661,60,23,1,60,0
"A00146","Mujer","Salud",9.49686514628509,17655,60,18,1,60,1
"A00147","Mujer","Humanidades",9.64850380853002,36862,60,19,1,60,1
"A00148","Hombre","Ciencias",9.12968681338733,24358,72,18,1,40,1
"A00149","Mujer","Humanidades",6.85623790321909,26316,60,18,1,59,1
"A00150","Hombre","Sociales",9.55349136013578,27760,60,20,1,60,1
"A00151","Mujer","Sociales",7.46706617419396,26606,60,21,1,55,0
"A00152","Hombre","Ingenieria",8.60078104235907,22988,72,24,0,50,1
"A00153","Hombre","Humanidades",8.12596601408357,13340,66,18,1,56,1
"A00154","Hombre","Humanidades",8.537495557133,55940,66,20,1,53,1
"A00155","Hombre","Ciencias",8.74666570086331,73061,60,21,0,55,0
"A00156","Hombre","Sociales",6.57087670655685,99319,60,22,0,44,0
"A00157","Hombre","Ingenieria",8.47327857031087,61905,54,18,1,51,0
"A00158","Mujer","Sociales",11.9449323111477,14442,60,23,1,60,0
"A00159","Hombre","Humanidades",9.05298452690948,14700,66,23,1,58,1
"A00160","Hombre","Salud",9.40947280802126,57022,60,19,0,52,0
"A00161","Mujer","Ciencias",5.85527774319115,24853,60,19,1,43,0
"A00162","Mujer","Salud",7.43332663717261,35305,60,25,0,53,1
"A00163","Hombre","Ciencias",7.43086723342269,19861,66,18,1,50,1
"A00164","Mujer","Humanidades",8.36567452358563,26821,72,20,1,56,1
"A00165","Hombre","Ciencias",6.90467058705878,21788,60,22,1,43,1
"A00166","Mujer","Humanidades",9.95619264759612,37016,60,18,1,60,1
"A00167","Hombre","Humanidades",8.64071990200769,18834,60,18,1,48,0
"A00168","Hombre","Humanidades",10.5612685482711,21235,66,22,1,64,0
"A00169","Mujer","Ciencias",8.79493882492211,13410,60,19,1,58,1
"A00170","Hombre","Ingenieria",9.55091116303884,57009,60,22,0,60,0
"A00171","Mujer","Ingenieria",10.4240223072834,18762,60,19,1,51,0
"A00172","Hombre","Sociales",9.11319079809282,72716,60,19,1,53,1
"A00173","Mujer","Salud",7.76787046162745,31791,60,22,0,54,1
