"id_empresa","sector","ccaa","empleados_2020","facturacion_2020_miles","intensidad_idi","running","elegible","anio","post","deduccion_miles","gasto_idi_miles","empleo"
"E00001","Comercio","Madrid",268,1058.7,0.07840433448879,0.02840433448879,1,2019,0,0,134.633907419355,267
"E00002","Industria","Galicia",55,5140.2,0.063011380900731,0.013011380900731,1,2019,0,0,149.378760496076,53
"E00003","Comercio","Cataluna",65,10903.7,0.019365304143591,-0.030634695856409,0,2019,0,0,207.649327847759,64
"E00004","Industria","Andalucia",38,5896.2,0.0466751532166104,-0.00332484678338956,0,2019,0,0,181.062823928177,38
"E00005","Servicios","Andalucia",20,11149.6,0.0320077666901798,-0.0179922333098202,0,2019,0,0,185.868630730592,18
"E00006","Servicios","Galicia",47,1657.3,0.0704588841270836,0.0204588841270836,1,2019,0,0,151.329221336455,47
"E00007","TIC","Madrid",20,1696.2,0.0269906149318989,-0.0230093850681011,0,2019,0,0,91.8640576218918,19
"E00008","Servicios","Valencia",196,872.9,0.0648422707808849,0.0148422707808849,1,2019,0,0,117.731827009815,194
"E00009","TIC","Valencia",16,5130.7,0.0808902181983817,0.0308902181983817,1,2019,0,0,127.311860056833,15
"E00010","Comercio","Andalucia",25,7128.7,0.0751252111211363,0.0251252111211363,1,2019,0,0,151.970658272901,23
"E00011","TIC","Madrid",19,581.1,0.0369861577300055,-0.0130138422699945,0,2019,0,0,106.850888717566,17
"E00012","TIC","Galicia",26,6686.6,0.024176595656035,-0.025823404343965,0,2019,0,0,185.609512283006,25
"E00013","Industria","Cataluna",65,8145.6,0.042772712012622,-0.00722728798737796,0,2019,0,0,183.291985278286,64
"E00014","Industria","Cataluna",85,2463.4,0.0444797878781552,-0.00552021212184484,0,2019,0,0,124.080213540918,85
"E00015","Industria","Madrid",58,9152.9,0.00413263193577183,-0.0458673680642282,0,2019,0,0,227.248979508756,57
"E00016","Comercio","Pais Vasco",56,2422.6,0.0675224205691498,0.0175224205691498,1,2019,0,0,146.308678928515,54
"E00017","Industria","Andalucia",24,6615.3,0.0877798138566291,0.0377798138566291,1,2019,0,0,177.627543408819,23
"E00018","TIC","Valencia",32,5265.1,0.0298937887079929,-0.0201062112920071,0,2019,0,0,152.053221601852,29
"E00019","TIC","Pais Vasco",84,2242.8,0.0555721308810366,0.00557213088103659,1,2019,0,0,167.722418051216,84
"E00020","TIC","Valencia",21,10808.3,0.0881242837087089,0.0381242837087089,1,2019,0,0,233.202251501077,19
