"id_empresa","ccaa","sector","tamano","empleados_base","endeudamiento_base","anio_apoyo","anio","tratamiento","event_time","empleo","credito_miles","tipo_interes"
"P00001","Madrid","TIC","micro",46,0.234212285577177,Inf,2017,0,NA,44,186.085299705079,4.86192223426752
"P00002","Madrid","Servicios profesionales","pequena",16,0.444305409613947,2021,2017,0,-4,20,191.504363804205,4.13922036296644
"P00003","Valencia","Manufacturas","mediana",18,0.407558889817478,2020,2017,0,-3,17,239.947381638904,4.89407196879632
"P00004","Pais Vasco","Comercio","pequena",27,0.868150194691001,2021,2017,0,-4,29,239.924257512976,4.6349951210387
"P00005","Madrid","Hosteleria","mediana",16,0.407380713007447,2020,2017,0,-3,22,109.206680742103,2.55068265424884
"P00006","Cataluna","Servicios profesionales","micro",6,0.575710538033862,2022,2017,0,-5,2,70.2281369242028,4.24913965043154
"P00007","Valencia","TIC","mediana",6,0.478787486373637,2022,2017,0,-5,8,179.034338659386,3.58945664173285
"P00008","Valencia","TIC","pequena",7,0.355240798131706,2021,2017,0,-4,1,172.523011181911,4.57874103531416
"P00009","Castilla y Leon","TIC","micro",34,0.456447634036578,2021,2017,0,-4,29,254.137134557504,4.19995133983327
"P00010","Pais Vasco","Manufacturas","pequena",12,0.461445663872111,Inf,2017,0,NA,6,192.102355636779,4.92912667288457
"P00011","Valencia","TIC","pequena",8,0.518176059681191,Inf,2017,0,NA,9,141.567930825486,4.9488210445564
"P00012","Valencia","Hosteleria","pequena",13,0.519293252759903,2021,2017,0,-4,11,140.13490638185,4.65428424211494
"P00013","Andalucia","TIC","micro",13,0.6560377278391,2020,2017,0,-3,8,159.46235699072,4.2119214296064
"P00014","Castilla y Leon","TIC","mediana",20,0.399071095688882,Inf,2017,0,NA,31,184.306433167018,4.380688817743
"P00015","Cataluna","Manufacturas","pequena",5,0.561985140622871,2022,2017,0,-5,7,31.7594581004975,3.99152577837535
"P00016","Castilla y Leon","Manufacturas","pequena",37,0.5624921096031,Inf,2017,0,NA,35,448.508005980882,3.92843573280533
"P00017","Castilla y Leon","Manufacturas","pequena",9,0.530902954799849,2022,2017,0,-5,11,113.534154128701,4.8562182194818
"P00018","Andalucia","Hosteleria","pequena",12,0.543417715353879,Inf,2017,0,NA,24,112.327129289586,4.4894054543597
"P00019","Andalucia","Servicios profesionales","micro",10,0.608475810836976,2023,2017,0,-6,11,200.870945147646,4.87193647698539
"P00020","Castilla y Leon","TIC","pequena",8,0.451188255631259,2023,2017,0,-6,15,0,4.36283835352506
"P00021","Cataluna","Comercio","micro",20,0.391320505042641,Inf,2017,0,NA,16,266.401240500811,4.46276765659023
"P00022","Castilla y Leon","Comercio","mediana",10,0.116600390945291,Inf,2017,0,NA,16,132.555260243969,4.28375693613074
"P00023","Andalucia","Hosteleria","mediana",5,0.549384150151492,Inf,2017,0,NA,6,266.441447917991,5.19765883720625
"P00024","Andalucia","TIC","mediana",15,0.715480754709621,2020,2017,0,-3,17,0,4.27204727611478
"P00025","Valencia","Comercio","pequena",62,0.460287009840243,Inf,2017,0,NA,61,443.698975982994,5.16366853291661
"P00026","Andalucia","Manufacturas","pequena",39,0.206306784165978,Inf,2017,0,NA,44,428.431637980088,4.01368077545488
"P00027","Andalucia","Comercio","pequena",44,0.406015468195861,2023,2017,0,-6,48,394.014073435926,4.4479850551177
"P00028","Andalucia","Manufacturas","mediana",45,0.560802607518538,Inf,2017,0,NA,48,384.924091844331,4.61921596255028
"P00029","Cataluna","Servicios profesionales","pequena",21,0.227321079862588,Inf,2017,0,NA,22,17.351105894692,4.16670687060288
"P00030","Castilla y Leon","Comercio","pequena",16,0.205166263864424,2020,2017,0,-3,11,164.919809464137,4.19510404444811
"P00031","Pais Vasco","Manufacturas","micro",18,0.481752356169672,Inf,2017,0,NA,17,149.651672224414,4.70072903903932
"P00032","Andalucia","TIC","pequena",20,0.630606069551305,Inf,2017,0,NA,17,127.661697271304,4.30478990157736
"P00033","Cataluna","Manufacturas","micro",40,0.180097250847941,2021,2017,0,-4,40,245.688016752435,4.17174723065836
"P00034","Madrid","Hosteleria","micro",10,0.603474173681593,2023,2017,0,-6,9,250.163908155919,4.97721382028991
"P00035","Castilla y Leon","Manufacturas","pequena",13,0.68812752700999,2022,2017,0,-5,13,209.833061689359,4.29927432856429
"P00036","Valencia","Manufacturas","pequena",28,0.519588369718215,Inf,2017,0,NA,28,218.959358482208,4.50876391180123
"P00037","Pais Vasco","Manufacturas","micro",10,0.682701600889098,2020,2017,0,-3,13,58.2437597929827,5.28984376349641
"P00038","Madrid","TIC","micro",14,0.809470175140751,2021,2017,0,-4,10,0,4.08561726131455
"P00039","Castilla y Leon","Manufacturas","pequena",21,0.34274251272482,2020,2017,0,-3,17,250.352808601969,4.44415676341994
"P00040","Madrid","Comercio","pequena",27,0.654507812386445,2022,2017,0,-5,19,208.935510443732,4.12946932916155
"P00041","Valencia","Manufacturas","micro",42,0.291249816430407,2022,2017,0,-5,41,299.678844950341,3.94000314745577
"P00042","Valencia","Servicios profesionales","micro",61,0.159886847699139,2021,2017,0,-4,58,535.636160864696,4.26005290447421
"P00043","Cataluna","Hosteleria","micro",11,0.272685286769388,2021,2017,0,-4,1,153.616103981586,3.97565324620098
"P00044","Castilla y Leon","Hosteleria","micro",10,0.636162691267328,2021,2017,0,-4,11,165.352261639248,5.43635850006963
"P00045","Cataluna","Manufacturas","pequena",33,0.263735177246191,2020,2017,0,-3,34,260.943674641553,4.69902885700598
"P00046","Valencia","TIC","micro",13,0.670069686308829,2022,2017,0,-5,13,71.1593559178668,4.17837234412571
"P00047","Castilla y Leon","Hosteleria","pequena",26,0.648526535293287,2022,2017,0,-5,30,340.185341880619,4.27806764757639
"P00048","Castilla y Leon","Hosteleria","micro",8,0.442307823198656,Inf,2017,0,NA,7,222.20582292205,4.06276040849622
"P00049","Valencia","Comercio","pequena",28,0.59895248376073,2023,2017,0,-6,25,309.336771186146,3.74221736637845
"P00050","Castilla y Leon","Servicios profesionales","micro",3,0.802301456321818,2023,2017,0,-6,6,0,5.07332399666907
"P00051","Madrid","Servicios profesionales","micro",7,0.641941713869608,2022,2017,0,-5,4,61.1635493331426,4.15088108754888
