codigo_municipio;year;frac_recogidas_pap;anyo_inicio_pap
08001;2000;NA;NA
08001;2001;NA;NA
08001;2002;NA;NA
08001;2003;NA;NA
08001;2004;NA;NA
08001;2005;NA;NA
08001;2006;NA;NA
08001;2007;NA;NA
08001;2008;NA;NA
08001;2009;NA;NA
08001;2010;NA;NA
08001;2011;NA;NA
08001;2012;NA;NA
08001;2013;NA;NA
08001;2014;NA;NA
08001;2015;NA;NA
08001;2016;NA;NA
08001;2017;NA;NA
08001;2018;NA;NA
08001;2019;NA;NA
08001;2020;NA;NA
08001;2021;NA;NA
08001;2022;NA;NA
08001;2023;NA;NA
17002;2000;NA;2020
17002;2001;NA;2020
17002;2002;NA;2020
17002;2003;NA;2020
17002;2004;NA;2020
17002;2005;NA;2020
17002;2006;NA;2020
17002;2007;NA;2020
17002;2008;NA;2020
17002;2009;NA;2020
17002;2010;NA;2020
17002;2011;NA;2020
17002;2012;NA;2020
17002;2013;NA;2020
17002;2014;NA;2020
17002;2015;NA;2020
17002;2016;NA;2020
17002;2017;NA;2020
17002;2018;NA;2020
17002;2019;NA;2020
17002;2020;Orgánica, Papel y cartón, Envases;2020
17002;2021;Orgánica, Resto;2020
17002;2022;Orgánica, Papel y cartón, Envases;2020
17002;2023;Orgánica, Papel y cartón, Envases, Vidrio;2020
17003;2000;NA;NA
17003;2001;NA;NA
17003;2002;NA;NA
17003;2003;NA;NA
17003;2004;NA;NA
17003;2005;NA;NA
17003;2006;NA;NA
17003;2007;NA;NA
17003;2008;NA;NA
17003;2009;NA;NA
17003;2010;NA;NA
17003;2011;NA;NA
17003;2012;NA;NA
17003;2013;NA;NA
17003;2014;NA;NA
17003;2015;NA;NA
17003;2016;NA;NA
17003;2017;NA;NA
17003;2018;NA;NA
17003;2019;NA;NA
17003;2020;NA;NA
17003;2021;NA;NA
17003;2022;NA;NA
17003;2023;NA;NA
17004;2000;NA;NA
17004;2001;NA;NA
17004;2002;NA;NA
17004;2003;NA;NA
17004;2004;NA;NA
17004;2005;NA;NA
17004;2006;NA;NA
17004;2007;NA;NA
17004;2008;NA;NA
17004;2009;NA;NA
17004;2010;NA;NA
